Name,Story,Genres,Certificate
Life Sentence,"Stella (Lucy Hale) has lived the last 8 years of her life making everyday count. 8 years ago she was diagnosed with cancer, but when she finds out that her cancer has been cured, she struggles to make some life choices. How do you make choices when there isn't a weight on your shoulders anymore?","Comedy ,Drama",TV-PG
Doubt,A successful defense lawyer at a boutique firm becomes romantically involved with a client who may or may not be guilty of a brutal crime.,Drama,TV-14
Black Box,"Catherine Black, a famed neuroscientist with a job at the Center for Neurological Research and Treatment, struggles with mental illness. However, this is just one of the many secrets she hides from her fiancé and her family.",Drama,TV-14
Animals.,"Whether it's lovelorn rats, gender-questioning pigeons or aging bedbugs in the midst of a midlife crisis, the awkward small talk, moral ambiguity and existential woes of non-human urbanites prove startlingly similar to our own.","Animation ,Comedy",TV-MA
Noughts + Crosses,"Set in a dangerous, alternate world where racism divides society, Noughts + Crosses follows two young people Sephy and Callum, who are divided by their colour but united by love.","Drama ,Romance ,Sci-Fi",
Daniel Tiger's Neighborhood,The adventures of the children of the characters of Fred Rogers' Neighborhood of Make-Believe.,"Animation ,Family ,Fantasy ,Musical",TV-Y
The New Normal,A single mother's life after she accepts the offer to be a surrogate mother for a gay couple.,"Comedy ,Romance",TV-14
Chowder,"In Marzipan City, the young, excitable food-loving Chowder is the apprentice of Mung Daal, a very old chef who runs a catering company with his wife, Truffles and assistant, Shnitzel.","Animation ,Short ,Adventure ,Comedy ,Family ,Fantasy",TV-Y7
Adam Ruins Everything,"Iconoclastic Adam Conover from CollegeHumor turns life as we know it on its ear by showing us how unnecessary, and sometimes horrible, things we think we know to be real and true really are.","Animation ,Comedy ,History ,News ,Talk-Show",TV-14
Richie Rich,"Richie Rich is just a normal kid. But, he has trillions of dollars. His life takes place in his newly built mansion with his dad, his sister Harper, Darcy, Murray, and Irona. He has mostly everything! Its just filled with fun and adventure!",Comedy,TV-G
The Twilight Zone,"This second revival of The Twilight Zone (1959) presents tales of suspense, fantasy, science fiction and horror.","Drama ,Fantasy ,Horror ,Mystery ,Sci-Fi ,Thriller",TV-14
Who Is America?,Sacha Baron Cohen offers his take on America's patriotism.,Comedy,TV-MA
The American Barbecue Showdown,Food competition that follows the country's best backyard smokers and competitive barbecuers as they compete for the title of American Barbecue Champion.,Reality-TV,TV-G
Pair of Kings,Teenage twins from Chicago discover they are heirs to the throne of an island nation.,"Comedy ,Family ,Fantasy",TV-Y7
90 Day Fiancé: Before the 90 Days,"Follow couples who have an existing relationship online, but haven't met in person. We'll experience their journey as they travel to the other's foreign country for the first time in an attempt to establish an in-person relationship and start the K-1 visa process.","Documentary ,Reality-TV",TV-14
One Mississippi,"This semi-autobiographical dark comedy starring Tig Notaro follows her as she returns to her hometown after the sudden death of her mother. Still reeling from her own declining health problems, Tig struggles to find her footing with the loss of the one person in her life who understood her. All while dealing with her clingy girlfriend and her dysfunctional family.","Comedy ,Drama",TV-MA
Whitney,"A girl, a guy, and their friends are twenty-somethings living in Chicago.",Comedy,TV-14
Last Chance U,"""Last Chance U"" follows a group of young men training to become the future stars of the NFL. Based at East Mississippi Community College (EMCC), ""Last Chance U"" takes us on a journey to understand the real men of the gridiron at one of the most successful, but least known athletic programs. Each player has incredible talent and drive to be the best, but each face their own unique struggles both on and off the field. As their season takes an unexpected turn, the methods of this unconventional team are deeply called into question. With much to lose, they are constantly reminded of the stakes.","Documentary ,Sport",TV-MA
Explained,A documentary series that looks to explore the big questions of today.,None,TV-MA
Mickey and the Roadster Racers,"Mickey Mouse and his pals Minnie, Pluto, Goofy, Daisy, and Donald take their unique transforming vehicles on humorous high-spirited races around the globe as well as hometown capers in Hot Dog Hills.","Animation ,Short ,Adventure ,Comedy ,Family ,Sport",TV-Y
Guardians of the Galaxy,"Star-Lord, the brash adventurer who, sets out to save the universe from its greatest threats, joins forces with a quartet of disparate misfits - fan-favorite Rocket Raccoon, a tree-like humanoid named Groot, the enigmatic, expert fighter Gamora and the rough-edged warrior Drax the Destroyer.","Animation ,Action ,Adventure ,Comedy ,Drama ,Family ,Sci-Fi",TV-Y7
The Shivering Truth,"The Shivering Truth is a miniature propulsive omnibus clusterbomb of painfully riotous daymares all dripping with the orange goo of dream logic. A series of loosely linked emotional parables about stories within tales that crawled out of the deepest caverns of your unconscious mind and became lovingly animated in breath-slapping stop motion - in other words, it is the truth.","Animation ,Comedy ,Fantasy ,Horror ,Sci-Fi",TV-MA
Crossing Swords,A good-hearted peasant dreaming of knighthood becomes a squire at the royal castle. But his dream job isn't everything he'd hoped it would be.,"Animation ,Comedy ,Fantasy",TV-MA
Tremors,"Perfection Valley, Nevada is a quaint little town. The inhabitants live peaceful, tranquil lives. Most of the time. Perfection is home to the Graboid, El Blanco. El Blanco is a thirty-foot worm creature who hunts prey by sound. It is an endangered species, so as long as El Blanco is around, Perfection can't be bulldozed by any greedy developers. To protect their home, the people of Perfection must co-exist with El Blanco, dealing with him when necessary, as well as other strange situations that come their way.","Action ,Adventure ,Comedy ,Horror ,Sci-Fi ,Thriller",TV-14
Street Outlaws,"Street outlaws shows a look into illegal street racing, competitive driving skills and the fastest street racing cars in Oklahoma, They compete against other drivers to make the top ten list and also against other states to see who's cars are the fastest.",Reality-TV,TV-14
The Real Housewives of Dallas,"A natural expansion for ""The Real Housewives"" franchise, the extravagant, over-the-top city of Dallas is deeply rooted in Texan pride, where people believe that if they are lucky enough to live in the Lone Star State, they are lucky enough.",Reality-TV,TV-14
Fastlane,"Two mist-matched cops, the angry and bitter Van Ray, and the brash Deaqon Hayes, are forced to team up by a shady vixen police lieutenant, Billie Chambers, into going undercover in the seedy side of Los Angeles in using a variety of police confiscated flashy cars, clothes, weapons and other items, kept in a large secret warehouse called the Candy Store, in order to nail various low-lives and rich and powerful criminals.","Action ,Comedy ,Crime ,Drama ,Thriller",TV-14
Dream Corp LLC,"An absurd workplace comedy set in a neglected dream therapy facility where a rotating cast of desperate patients have their dreams recorded and analyzed by Dream Corp's absent-minded professor, Dr. Roberts and his team of unremarkable scientists.",Comedy,TV-14
